Plant_Species_and_variety,Treatment,Pot_Number,Pod_number,Pod_weight_grams,Bean_number,Bean_weight_grams,Seed_head _total_weight_grams,Seedheads_number,Average_ Pod_weight_grams,Average_bean_weight_milligrams,Average_beans_per_pod_number,total_weight_of_all_grains_grams,100_grain_weight_grams,Number_of_Ears,Calculated_number_of_grains_per_ear,calculated_total_number_of_grains
Wheat_Njoro,High_ozone_unheated,4,,,,,,,,,,25.92,3.65,31,22.90764472,710.1369863
Wheat_Njoro,Low_ozone_unheated,1,,,,,,,,,,30.77,4.91,24,26.11167685,626.6802444
Wheat_Njoro,Low_ozone_unheated,2,,,,,,,,,,31.08,4.75,27,24.23391813,654.3157895
Wheat_Njoro,Low_ozone_unheated,3,,,,,,,,,,34.26,4.88,27,26.00182149,702.0491803
Wheat_Njoro,Low_ozone_unheated,4,,,,,,,,,,30.3,4.76,27,23.57609711,636.5546218
Wheat_Njoro,Medium_ozone_unheated,1,,,,,,,,,,37.2,4.8,31,25,775
Wheat_Njoro,Medium_ozone_unheated,2,,,,,,,,,,41.52,4.33,33,29.05731682,958.891455
Wheat_Njoro,Medium_ozone_unheated,3,,,,,,,,,,31.57,4.88,27,23.96023072,646.9262295
Wheat_Njoro,Medium_ozone_unheated,4,,,,,,,,,,34.11,4.41,26,29.74882261,773.4693878
Wheat_Wren,High_ozone_unheated,1,,,,,,,,,,28.97,3.19,20,45.40752351,908.1504702
Wheat_Wren,High_ozone_unheated,2,,,,,,,,,,27.25,3.45,23,34.34152489,789.8550725
Wheat_Wren,High_ozone_unheated,3,,,,,,,,,,19.17,2.97,23,28.06324111,645.4545455
Wheat_Wren,High_ozone_unheated,4,,,,,,,,,,24.13,3.36,20,35.9077381,718.1547619
Wheat_Wren,Low_ozone_unheated,1,,,,,,,,,,40.78,5.2,22,35.64685315,784.2307692
Wheat_Wren,Low_ozone_unheated,2,,,,,,,,,,49.24,4.61,27,39.55973327,1068.112798
Wheat_Wren,Low_ozone_unheated,3,,,,,,,,,,34.34,4.44,22,35.15561016,773.4234234
Wheat_Wren,Low_ozone_unheated,4,,,,,,,,,,40.09,4.41,22,41.32137704,909.0702948
Wheat_Wren,Medium_ozone_unheated,1,,,,,,,,,,39.59,3.97,21,47.48710567,997.2292191
Wheat_Wren,Medium_ozone_unheated,2,,,,,,,,,,35.55,4.65,19,40.237691,764.516129
Wheat_Wren,Medium_ozone_unheated,3,,,,,,,,,,45.29,4.59,26,37.95039383,986.7102397
Wheat_Wren,Medium_ozone_unheated,4,,,,,,,,,,45.36,4.5,26,38.76923077,1008
Pearl Millet_ICMV_229,High_ozone_heated,1,,,,,61.58,2,,,,,,,,
Pearl Millet_ICMV_230,High_ozone_heated,2,,,,,47.68,2,,,,,,,,
Pearl Millet_ICMV_231,High_ozone_heated,3,,,,,30.09,2,,,,,,,,
Pearl Millet_ICMV_232,High_ozone_heated,4,,,,,47.71,4,,,,,,,,
Pearl_Millet_KAT_PM9,High_ozone_heated,1,,,,,60.58,6,,,,,,,,
Pearl_Millet_KAT_PM10,High_ozone_heated,2,,,,,43.59,2,,,,,,,,
Pearl_Millet_KAT_PM11,High_ozone_heated,3,,,,,51.32,2,,,,,,,,
Pearl_Millet_KAT_PM12,High_ozone_heated,4,,,,,34.04,2,,,,,,,,
Pearl_Millet_Okashana,High_ozone_heated,1,,,,,16.64,2,,,,,,,,
Pearl_Millet_Okashana,High_ozone_heated,2,,,,,46.05,1,,,,,,,,
Pearl_Millet_Okashana,High_ozone_heated,3,,,,,17.97,3,,,,,,,,
Pearl_Millet_Okashana,High_ozone_heated,4,,,,,45.03,5,,,,,,,,
Pearl_Millet_Shibe,High_ozone_heated,1,,,,,37.85,3,,,,,,,,
Pearl_Millet_Shibe,High_ozone_heated,2,,,,,51.42,2,,,,,,,,
Pearl_Millet_Shibe,High_ozone_heated,3,,,,,33.84,2,,,,,,,,
Pearl_Millet_Shibe,High_ozone_heated,4,,,,,17.5,2,,,,,,,,
Pearl Millet_ICMV_221,Low_ozone_heated,1,,,,,40.71,2,,,,,,,,
Pearl Millet_ICMV_222,Low_ozone_heated,2,,,,,8.16,1,,,,,,,,
Pearl Millet_ICMV_223,Low_ozone_heated,3,,,,,42.43,2,,,,,,,,
Pearl Millet_ICMV_224,Low_ozone_heated,4,,,,,36.12,3,,,,,,,,
Pearl_Millet_KAT_PM1,Low_ozone_heated,1,,,,,35.97,2,,,,,,,,
Pearl_Millet_KAT_PM2,Low_ozone_heated,2,,,,,41.61,2,,,,,,,,
Pearl_Millet_KAT_PM3,Low_ozone_heated,3,,,,,44.24,2,,,,,,,,
Pearl_Millet_KAT_PM4,Low_ozone_heated,4,,,,,46.81,2,,,,,,,,
Pearl_Millet_Okashana,Low_ozone_heated,1,,,,,2.37,1,,,,,,,,
Pearl_Millet_Okashana,Low_ozone_heated,2,,,,,36.19,1,,,,,,,,
Pearl_Millet_Okashana,Low_ozone_heated,3,,,,,17.81,1,,,,,,,,
Pearl_Millet_Okashana,Low_ozone_heated,4,,,,,27.37,1,,,,,,,,
Pearl_Millet_Shibe,Low_ozone_heated,1,,,,,31.2,2,,,,,,,,
Pearl_Millet_Shibe,Low_ozone_heated,2,,,,,52.33,2,,,,,,,,
Pearl_Millet_Shibe,Low_ozone_heated,3,,,,,66.26,3,,,,,,,,
