,Country,Gini Index,2021 Population
9,Indonesia,0.833,276361783
8,Saudi Arabia,0.8340000000000001,35340683
7,Philippines,0.8370000000000001,111046913
6,Denmark,0.838,5813298
5,Thailand,0.846,69950850
4,Brazil,0.8490000000000001,213993437
3,United States,0.852,332915073
2,Sweden,0.867,10160169
1,Russia,0.879,145912025
0,Netherlands,0.902,17173099
